Element,Sample,Actual_Mass_Balance_Error,Predicted_Mass_Balance_Error,Source
Mn,0,0.1090619196275342,0.11405663025013868,Nchwaning 
Fe,0,0.03894887635419464,0.040336743216207005,Nchwaning 
Si,0,0.010952467334006066,0.013402092845503012,Nchwaning 
Ca,0,0.050297981004825465,0.048711974638277755,Nchwaning 
Al,0,0.11404794439158084,0.11002884942366609,Nchwaning 
Mg,0,0.001572433778942249,0.003573701528808374,Nchwaning 
C,0,0.0,0.0,Nchwaning 
O,0,0.23127741149077563,0.22929443181629416,Nchwaning 
K,0,0.00010173680411057793,9.706300961504906e-05,Nchwaning 
Ba,0,6.932264784183587e-05,0.00021937825561087242,Nchwaning 
S,0,0.0019242526074758027,0.0020180571644771708,Nchwaning 
Ti,0,9.696265485351676e-06,1.776204453798003e-05,Nchwaning 
P,0,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,1,0.1088522226802533,0.0965043739007454,Nchwaning 
Fe,1,0.04645214432805084,0.043804195734376494,Nchwaning 
Si,1,0.0060832992893813664,0.00645213070277037,Nchwaning 
Ca,1,0.034583450730597376,0.03490287008673637,Nchwaning 
Al,1,0.08653041791364946,0.09302927751289991,Nchwaning 
Mg,1,0.006170170006252421,0.004255397474009888,Nchwaning 
C,1,0.0,0.0,Nchwaning 
O,1,0.1844561449085671,0.1950012058916477,Nchwaning 
K,1,0.00015233130918510337,0.00013933270552594893,Nchwaning 
Ba,1,0.0009615768404493854,0.0018805740895568124,Nchwaning 
S,1,0.0018341075895434778,0.001936908628259883,Nchwaning 
Ti,1,9.347555524392168e-05,9.98840405958202e-05,Nchwaning 
P,1,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,2,0.14050739989363692,0.16296985470551806,Nchwaning 
Fe,2,0.03470131614289551,0.0397275572805533,Nchwaning 
Si,2,0.0054125422979529325,0.0030721791922552408,Nchwaning 
Ca,2,0.027742727016587754,0.026185182313258004,Nchwaning 
Al,2,0.11087299254746341,0.11219780373626598,Nchwaning 
Mg,2,0.005442978930340112,0.004751076881994613,Nchwaning 
C,2,0.0,0.0,Nchwaning 
O,2,0.22340822381524394,0.22402980817783447,Nchwaning 
K,2,0.00015475816382861266,0.00015157353384683258,Nchwaning 
Ba,2,0.0009797468717675805,0.0009632391876268562,Nchwaning 
S,2,0.001282618426905087,0.0012333580380089356,Nchwaning 
Ti,2,5.84730886061368e-05,6.0486537566837076e-05,Nchwaning 
P,2,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,3,0.08841762495083005,0.07968983347546543,Nchwaning 
Fe,3,0.054280141462977854,0.054588924580508874,Nchwaning 
Si,3,0.0036889536306774565,0.0019884855626714146,Nchwaning 
Ca,3,0.026168830937240317,0.03455926389972819,Nchwaning 
Al,3,0.050793246918814594,0.055228197593445216,Nchwaning 
Mg,3,0.0058344994591161235,0.005240231806015048,Nchwaning 
C,3,0.0,0.0,Nchwaning 
O,3,0.14669724812335394,0.12704876272919519,Nchwaning 
K,3,7.455942927512841e-05,9.136739705729616e-05,Nchwaning 
Ba,3,0.0009082393852711873,0.0002531949772141876,Nchwaning 
S,3,0.001858978944603512,0.001713805004647051,Nchwaning 
Ti,3,7.818866147963206e-05,7.744165808769478e-05,Nchwaning 
P,3,0.00032759277138440365,0.00031352087033303434,Nchwaning 
Mn,4,0.08553624349462097,0.08586112576242089,Nchwaning 
Fe,4,0.050881788879935524,0.049727694226723795,Nchwaning 
Si,4,0.0008111318565992842,0.0019289988206581746,Nchwaning 
Ca,4,0.04318923487893517,0.04182405205784928,Nchwaning 
Al,4,0.06803336932982029,0.07373112433921503,Nchwaning 
Mg,4,0.005853653695378169,0.004525446140387249,Nchwaning 
C,4,0.0,0.0,Nchwaning 
O,4,0.15686715798224915,0.16712124154284447,Nchwaning 
K,4,0.00012843008195677098,0.00012433228469747596,Nchwaning 
Ba,4,0.0007658779073028399,0.0016332111737373486,Nchwaning 
S,4,0.002005836889403138,0.0019470688138664527,Nchwaning 
Ti,4,0.00010499112260817524,8.48960057852389e-05,Nchwaning 
P,4,0.00032759277138440365,0.0003160613796142078,Nchwaning 
Mn,5,0.06793612040722541,0.0877414373198423,Nchwaning 
Fe,5,0.05313811442385172,0.037192145703940055,Nchwaning 
Si,5,0.0076517952450206525,0.008467015660806813,Nchwaning 
Ca,5,0.06487907784597713,0.06227666769795753,Nchwaning 
Al,5,0.0764594156147953,0.10393307404530105,Nchwaning 
Mg,5,0.0011838657814035175,0.004450094671465191,Nchwaning 
C,5,0.0,0.0,Nchwaning 
O,5,0.15437931626604562,0.1998372167743927,Nchwaning 
K,5,6.863348762155502e-05,9.299489423510168e-05,Nchwaning 
Ba,5,0.0001369600350617688,0.00028851493528656426,Nchwaning 
S,5,0.0019825997149138194,0.0015127188714402862,Nchwaning 
Ti,5,4.331015278129059e-05,0.00012120236848471339,Nchwaning 
P,5,0.00032759277138440365,0.00031550216885275036,Nchwaning 
Mn,6,0.08035297265585606,0.06688713117416545,Nchwaning 
Fe,6,0.020832482764795407,0.03993372784373117,Nchwaning 
Si,6,0.008027421183941376,0.006983928748539869,Nchwaning 
Ca,6,0.06864262608466154,0.06762305282269487,Nchwaning 
Al,6,0.10467167140364364,0.08967929444780642,Nchwaning 
Mg,6,0.003542789372872439,0.0029133965828295853,Nchwaning 
C,6,0.0,0.0,Nchwaning 
O,6,0.18243933976564053,0.16473840797433925,Nchwaning 
K,6,0.000146407490763939,9.353053944791655e-05,Nchwaning 
Ba,6,0.0022910152912618193,0.0012989795503963344,Nchwaning 
S,6,0.0012846199950503163,0.0002803112982867743,Nchwaning 
Ti,6,0.00022690563420137285,0.00014750768372706879,Nchwaning 
P,6,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,7,0.08140896324893943,0.07656068130950233,Nchwaning 
Fe,7,0.0523680186229743,0.053556577617083434,Nchwaning 
Si,7,0.006033529068274528,0.00514752282292482,Nchwaning 
Ca,7,0.034213783092654104,0.03449560279105662,Nchwaning 
Al,7,0.04710899939133695,0.05045107158784745,Nchwaning 
Mg,7,0.00582005934835899,0.005764773743677353,Nchwaning 
C,7,0.0,0.0,Nchwaning 
O,7,0.13895444207175256,0.13524810581748437,Nchwaning 
K,7,8.691451866321286e-05,0.00010454901650754252,Nchwaning 
Ba,7,0.0007221954824058532,0.0008068873953170248,Nchwaning 
S,7,0.0014741356575303794,0.0015833099972478934,Nchwaning 
Ti,7,6.362798594642514e-05,6.392012746910558e-05,Nchwaning 
P,7,0.00032759277138440365,0.0003237010779238135,Nchwaning 
Mn,8,0.0769001524235825,0.08071871017062493,Nchwaning 
Fe,8,0.05033418390187122,0.04666652275589672,Nchwaning 
Si,8,0.005854896697903476,0.00347379251830552,Nchwaning 
Ca,8,0.04451311936716035,0.053444083690752375,Nchwaning 
Al,8,0.06393227254855771,0.06551812028477944,Nchwaning 
Mg,8,0.006232867875467691,0.0045030013871481915,Nchwaning 
C,8,0.0,0.0,Nchwaning 
O,8,0.14818846658361684,0.14106409555176258,Nchwaning 
K,8,0.00010300225062635356,8.527236254206221e-05,Nchwaning 
Ba,8,0.0005004963170794382,0.0013334801723654181,Nchwaning 
S,8,0.00116649492776272,0.0012547176894160128,Nchwaning 
Ti,8,7.393903272740024e-05,0.00012165546059737028,Nchwaning 
P,8,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,9,0.08304550800043997,0.09287091573651696,Nchwaning 
Fe,9,0.04564670964276121,0.052184922625657604,Nchwaning 
Si,9,0.00681891008202639,0.0072216902114300985,Nchwaning 
Ca,9,0.03322390125077124,0.03382804040813775,Nchwaning 
Al,9,0.05291576097319428,0.048061169830585504,Nchwaning 
Mg,9,0.005750662458689371,0.006994769489518712,Nchwaning 
C,9,0.0,0.0,Nchwaning 
O,9,0.15334551028758936,0.14584351703952758,Nchwaning 
K,9,0.0001713958129856894,0.000131244193650102,Nchwaning 
Ba,9,0.0007607582107541019,0.00038389303412818265,Nchwaning 
S,9,0.001385472005573417,0.0014311581877396557,Nchwaning 
Ti,9,1.4950078757115044e-05,1.522173068452422e-05,Nchwaning 
P,9,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,10,0.06434799521567836,0.07467548370792954,Nchwaning 
Fe,10,0.05506675620019694,0.04205462469080368,Nchwaning 
Si,10,0.0005161979461488359,0.0030883732130664934,Nchwaning 
Ca,10,0.06958061536376503,0.06954073484742845,Nchwaning 
Al,10,0.059751034720295304,0.07770129231710032,Nchwaning 
Mg,10,0.0019238594297396813,0.003151681281844603,Nchwaning 
C,10,0.0,0.0,Nchwaning 
O,10,0.14867337492498867,0.1600471010217266,Nchwaning 
K,10,3.753874899146457e-05,9.574643558903138e-05,Nchwaning 
Ba,10,9.103276997105524e-05,0.0015883834377302185,Nchwaning 
S,10,0.0022950619010981325,0.0012204438845272586,Nchwaning 
Ti,10,4.647796678928904e-05,0.00010112809305049217,Nchwaning 
P,10,0.00032759277138440365,0.00032569215985817817,Nchwaning 
Mn,11,0.0570613131278942,0.07563681407371525,Nchwaning 
Fe,11,0.03175396185871607,0.03692258276922414,Nchwaning 
Si,11,0.008695689381115548,0.007918362494133815,Nchwaning 
Ca,11,0.07342316155884548,0.07544581501806807,Nchwaning 
Al,11,0.06808513937880567,0.072919788698803,Nchwaning 
Mg,11,0.002989996129454848,0.004737735098837688,Nchwaning 
C,11,0.0,0.0,Nchwaning 
O,11,0.13370977632762426,0.14494655163224368,Nchwaning 
K,11,3.781052273981909e-05,7.245601088282769e-05,Nchwaning 
Ba,11,0.0022453489024283663,0.0025015869284140094,Nchwaning 
S,11,0.001834746915911792,0.001672621826603422,Nchwaning 
Ti,11,0.0004102807459513333,0.0003477096076564365,Nchwaning 
P,11,0.00032759277138440365,0.0003208388855713356,Nchwaning 
Mn,12,0.09159679048058733,0.09600980756943722,Nchwaning 
Fe,12,0.055305291431641146,0.051306561840449294,Nchwaning 
Si,12,0.006341230790247988,0.005620521526532987,Nchwaning 
Ca,12,0.030148509025026082,0.031338199979911774,Nchwaning 
Al,12,0.051129680682046486,0.04790975753258353,Nchwaning 
Mg,12,0.00664416292017745,0.007780063243366598,Nchwaning 
C,12,0.0,0.0,Nchwaning 
O,12,0.15942116881278734,0.161200806984523,Nchwaning 
K,12,0.00010584525882203065,0.00011941061054018172,Nchwaning 
Ba,12,0.0006961385096400301,7.329211648286022e-05,Nchwaning 
S,12,0.0012288526386624548,0.001150859654047299,Nchwaning 
Ti,12,7.911897207565693e-05,8.410635578619464e-05,Nchwaning 
P,12,0.00032759277138440365,0.00032759277138440365,Nchwaning 
Mn,13,0.058768634407727616,0.07165813535227661,Nchwaning 
Fe,13,0.0401924791834542,0.030695260440972344,Nchwaning 
Si,13,0.011312269612034492,0.01439309322233967,Nchwaning 
Ca,13,0.07432120604735593,0.06812976097120627,Nchwaning 
Al,13,0.05889793933658982,0.06553056381274325,Nchwaning 
Mg,13,0.001150445112692411,0.002719851470700887,Nchwaning 
C,13,0.0,0.0,Nchwaning 
O,13,0.14615650778528355,0.1623995738286752,Nchwaning 
K,13,0.00016594335215932735,0.00014543940443511154,Nchwaning 
Ba,13,9.634160180630597e-06,6.05838696552622e-06,Nchwaning 
S,13,0.0020618169299457855,0.0020972734749931314,Nchwaning 
Ti,13,0.00026240017629573613,0.0002925918354645037,Nchwaning 
P,13,0.00032759277138440365,0.00032721058605382556,Nchwaning 
Mn,14,0.0752402812660583,0.06807164761121132,Nchwaning 
Fe,14,0.02527997134927029,0.035194143846265874,Nchwaning 
Si,14,0.009803444124722692,0.005744654524490189,Nchwaning 
Ca,14,0.07418139928028045,0.07664040717345538,Nchwaning 
Al,14,0.08859661761150739,0.07632049474426073,Nchwaning 
Mg,14,0.004480900348349068,0.0012635057072551518,Nchwaning 
C,14,0.0,0.0,Nchwaning 
O,14,0.18137252769486856,0.1686686154172803,Nchwaning 
K,14,0.0001575863093974266,0.00013709186712990945,Nchwaning 
Ba,14,0.002398170213931575,0.0033808213006027237,Nchwaning 
S,14,0.0021437442650463624,0.0022950619010981325,Nchwaning 
Ti,14,0.0001854110269977888,0.00015203206134668768,Nchwaning 
P,14,0.00032759277138440365,0.00032751720622214796,Nchwaning 
Mn,15,0.06704079733221846,0.05018356380414479,Zambian
Fe,15,0.019889067955949507,0.01905697030427164,Zambian
Si,15,0.011232551289596493,0.007662762067672635,Zambian
Ca,15,0.11209025382774529,0.12484604322572584,Zambian
Al,15,0.14054764395672859,0.15165465644744458,Zambian
Mg,15,0.00548005180575818,0.005003309812328181,Zambian
C,15,0.0,0.0,Zambian
O,15,0.11664753796921823,0.11320463309602546,Zambian
K,15,0.0034874092318145145,0.0034874092318145145,Zambian
Ba,15,0.006712606975570239,0.007780243715787408,Zambian
S,15,0.0005438720049240003,0.00061495410220227,Zambian
Ti,15,2.268805921934046e-05,7.384928032787313e-05,Zambian
P,15,0.005114674237098432,0.005114638528398053,Zambian
Mn,16,0.0755756292391252,0.08118458306814436,Zambian
Fe,16,0.025655260094905544,0.027842059388319306,Zambian
Si,16,0.011789726507142051,0.00667267262275982,Zambian
Ca,16,0.13216375937543473,0.12374892572044682,Zambian
Al,16,0.17298894427819844,0.17211414738023245,Zambian
Mg,16,0.00567585673028255,0.005561847598383598,Zambian
C,16,0.0,0.0,Zambian
O,16,0.14794933679982125,0.14925380334822513,Zambian
K,16,0.0034874092318145145,0.0034874092318145145,Zambian
Ba,16,0.009422459097863808,0.008302471735496246,Zambian
S,16,0.0008365899216556392,0.0006202503432865003,Zambian
Ti,16,0.0003238758016572801,0.00029514158343918353,Zambian
P,16,0.005114674237098432,0.005114674237098432,Zambian
Mn,17,0.07480795694098186,0.06621241402027556,Zambian
Fe,17,0.031475664786462534,0.0327352043553531,Zambian
Si,17,0.0026321722788310298,0.003650036277287244,Zambian
Ca,17,0.12944929686469064,0.126522992323499,Zambian
Al,17,0.15892255218296825,0.1570747212595297,Zambian
Mg,17,0.0059073848016593725,0.005748635000032835,Zambian
C,17,0.0,0.0,Zambian
O,17,0.13695206834734108,0.14706484058299463,Zambian
K,17,0.0034874092318145145,0.003478320859286747,Zambian
Ba,17,0.008519696809613807,0.00716553410992752,Zambian
S,17,0.0006367926348943729,0.0006745486392421887,Zambian
Ti,17,0.00037320605315416613,0.00038546420176604237,Zambian
P,17,0.005114674237098432,0.005114674237098432,Zambian
Mn,18,0.02259433607210959,0.029870178088132415,Zambian
Fe,18,0.008946190348285438,0.00759751189861561,Zambian
Si,18,0.008831058338359954,0.008886251012195867,Zambian
Ca,18,0.12325464447353118,0.12206897638218045,Zambian
Al,18,0.13341427915176995,0.13492200755102968,Zambian
Mg,18,0.005198655729895495,0.005003309812328181,Zambian
C,18,0.0,0.0,Zambian
O,18,0.07520054016346811,0.07783248574246682,Zambian
K,18,0.0034874092318145145,0.0034863969321918594,Zambian
Ba,18,0.00845943439418663,0.007549755600248065,Zambian
S,18,0.00048336989982498263,0.0005461899103011723,Zambian
Ti,18,6.886426981261059e-05,0.00010391073415889684,Zambian
P,18,0.005114674237098432,0.00510963764413941,Zambian
Mn,19,0.07380958413528549,0.06847789425538098,Zambian
Fe,19,0.034897484107798374,0.03600501951888298,Zambian
Si,19,0.011674157237582257,0.005209543620521069,Zambian
Ca,19,0.09931630211101095,0.10186204909095387,Zambian
Al,19,0.07752395279992452,0.08387009252444144,Zambian
Mg,19,0.00582369418723514,0.005885644893542439,Zambian
C,19,0.0,0.0,Zambian
O,19,0.11915605405540819,0.13096853921134977,Zambian
K,19,0.0034874092318145145,0.0034841199932094877,Zambian
Ba,19,0.0029329013222513106,0.00182043847681964,Zambian
S,19,0.0008663419877713416,0.0009136540408566198,Zambian
Ti,19,0.00038353713354151594,0.0003880534843975842,Zambian
P,19,0.005114674237098432,0.005108876473378201,Zambian
Mn,20,0.06201776645651236,0.07902057894496795,Zambian
Fe,20,0.021511549825409617,0.021791704645156108,Zambian
Si,20,0.004551064750956901,0.006074249268353871,Zambian
Ca,20,0.0999657616080632,0.10581387315257956,Zambian
Al,20,0.042101416088760946,0.0428037022957618,Zambian
Mg,20,0.005003309812328181,0.007943743767011955,Zambian
C,20,0.0,0.0,Zambian
O,20,0.02176055622340556,0.02161895097978972,Zambian
K,20,0.0034874092318145145,0.0034874092318145145,Zambian
Ba,20,0.0008074120162212817,0.0028962066060323824,Zambian
S,20,0.0006654219815340112,0.0005490847191982488,Zambian
Ti,20,0.00037726285844504157,0.00037816441674785623,Zambian
P,20,0.005114674237098432,0.00511054962387887,Zambian
Mn,21,0.09255138916848926,0.07815345242814409,Zambian
Fe,21,0.028979854955680905,0.0261504527927522,Zambian
Si,21,0.0100153891616689,0.0110611322773808,Zambian
Ca,21,0.127154254655173,0.1261131615134891,Zambian
Al,21,0.0452918801826071,0.04658844527165362,Zambian
Mg,21,0.006297634997667749,0.006006747371734284,Zambian
C,21,0.0,0.0,Zambian
O,21,0.054260448432045694,0.04600328101623341,Zambian
K,21,0.0034874092318145145,0.003485073836842908,Zambian
Ba,21,0.004625205603100251,0.0029775327526747053,Zambian
S,21,0.0018173789439540954,0.0019388106594152438,Zambian
Ti,21,0.00038052332788252296,0.0003807916933521126,Zambian
